bioguide_id,Name,first_name,middle_name,last_name,nickname,Chamber,State,District,Party,start_year,end_year,update_date,image_url
L000601,Greg Landsman,Greg,,Landsman,,House,Ohio,1,Democratic,2023,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/l000601_200.jpg
R000579,Patrick Ryan,Patrick,,Ryan,,House,New York,18,Democratic,2022,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/r000579_200.jpg
C001126,Mike Carey,Mike,,Carey,,House,Ohio,15,Republican,2021,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/c001126_200.jpg
B001313,Shontel M. Brown,Shontel,M.,Brown,,House,Ohio,11,Democratic,2021,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/b001313_200.jpg
T000486,Ritchie Torres,Ritchie,,Torres,,House,New York,15,Democratic,2021,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/t000486_200.jpg
O000172,Alexandria Ocasio-Cortez,Alexandria,,Ocasio-Cortez,,House,New York,14,Democratic,2019,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/o000172_200.jpg
M001206,Joseph D. Morelle,Joseph,D.,Morelle,,House,New York,25,Democratic,2018,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/67ffc962f22eaf56065817bb_200.jpg
B001306,Troy Balderson,Troy,,Balderson,,House,Ohio,12,Republican,2018,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/116_rp_oh_12_balderson_troy_200.jpg
T000478,Claudia Tenney,Claudia,,Tenney,,House,New York,24,Republican,2021,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/t000478_200.jpg
E000297,Adriano Espaillat,Adriano,,Espaillat,,House,New York,13,Democratic,2017,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/e000297_200.jpg
D000626,Warren Davidson,Warren,,Davidson,,House,Ohio,8,Republican,2016,,2025-04-28T13:04:24Z,https://www.congress.gov/img/member/115_rp_oh_8_davidson_warren_200.jpg
